MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MEDV
8.3252,41,6.98,1.02,322,2.55,37.88,-122.23,4.526
8.3014,21,6.24,0.97,2401,2.10,37.86,-122.22,3.585
7.2574,52,8.28,1.07,496,2.80,37.85,-122.24,3.521
5.6431,52,5.81,1.07,558,2.55,37.85,-122.25,3.413
3.8462,52,6.28,1.08,565,2.18,37.85,-122.25,3.422
4.0368,52,6.94,1.11,413,2.14,37.85,-122.25,2.697
3.6591,52,6.21,1.03,1094,2.14,37.84,-122.25,2.992
3.1200,52,5.33,1.02,1157,1.78,37.84,-122.25,2.414
2.0804,42,4.94,1.09,1206,2.03,37.84,-122.26,2.267
3.6912,52,6.60,1.08,1551,2.17,37.84,-122.26,2.611
